site,location_id,X,Y
IL-RS,IL-RS-I01,-88.29394475,40.00476119
IL-RS,IL-RS-I02,-88.29368194,40.00475401999999
IL-RS,IL-RS-I03,-88.29327535,40.00474453999999
IL-RS,IL-RS-I04,-88.29286512000002,40.00473472
IL-RS,IL-RS-I05,-88.2924322,40.004739210000004
IL-RS,IL-RS-I06,-88.29200518,40.00474912
IL-RS,IL-RS-I07,-88.29160064,40.00475101
IL-RS,IL-RS-I08,-88.29119057000001,40.00475013999999
IL-RS,IL-RS-I09,-88.29077177,40.00474059
IL-RS,IL-RS-I10,-88.29036787,40.004739189999995
IL-RS,IL-RS-I11,-88.28995342,40.004732489999995
IL-RS,IL-RS-I12,-88.28954471,40.004729239999996
IL-RS,IL-RS-I13,-88.28913214,40.00472304000001
IL-RS,IL-RS-I14,-88.28872273,40.00471917
IL-RS,IL-RS-I15,-88.28830856,40.00471318999999
IL-RS,IL-RS-I16,-88.28789941,40.004712389999995
IL-RS,IL-RS-I17,-88.28749694,40.00470894999999
IL-RS,IL-RS-I18,-88.28707783,40.004705220000005
IL-RS,IL-RS-I19,-88.28666924,40.00469729
IL-RS,IL-RS-I20,-88.28624633,40.004691099999995
IL-RS,IL-RS-I21,-88.28583978,40.004689209999995
IL-RS,IL-RS-J01,-88.29394495,40.004445569999994
IL-RS,IL-RS-J02,-88.29358445,40.00444464
IL-RS,IL-RS-J03,-88.29317226,40.00444916
IL-RS,IL-RS-J04,-88.29277965,40.00446116
IL-RS,IL-RS-J05,-88.29237007,40.00447849999999
IL-RS,IL-RS-J06,-88.29195581,40.00447024
IL-RS,IL-RS-J07,-88.2915465,40.004462079999996
IL-RS,IL-RS-J08,-88.2911283,40.00445417999999
IL-RS,IL-RS-J09,-88.29072398,40.00444774
IL-RS,IL-RS-J10,-88.29031379,40.00444079
IL-RS,IL-RS-J11,-88.28990871,40.00443355
IL-RS,IL-RS-J12,-88.28949388,40.00442866
IL-RS,IL-RS-J13,-88.28909221,40.00442010999999
IL-RS,IL-RS-J14,-88.28869505000002,40.004415290000004
IL-RS,IL-RS-J15,-88.2882835,40.00440936999999
IL-RS,IL-RS-J16,-88.28788305,40.00440307
IL-RS,IL-RS-J17,-88.28747196,40.00439836000001
IL-RS,IL-RS-J18,-88.28705163,40.00439103999998
IL-RS,IL-RS-J19,-88.28665747,40.00438418
IL-RS,IL-RS-J20,-88.28624749,40.00437863999999
IL-RS,IL-RS-J21,-88.28584397,40.00437300000001
IL-RS,IL-RS-K01,-88.29393149,40.004105429999996
IL-RS,IL-RS-K02,-88.29352943,40.00409077999999
